timestamp,value,value_classification
1745107200,33,Fear
1745020800,32,Fear
1744934400,32,Fear
1744848000,30,Fear
1744761600,29,Fear
1744675200,31,Fear
1744588800,29,Fear
1744502400,32,Fear
1744416000,27,Fear
1744329600,21,Fear
1744243200,25,Fear
1744156800,15,Extreme fear
1744070400,19,Extreme fear
1743984000,17,Extreme fear
1743897600,27,Fear
1743811200,27,Fear
1743724800,25,Fear
1743638400,24,Fear
1743552000,29,Fear
1743465600,24,Fear
1743379200,24,Fear
1743292800,24,Fear
1743206400,27,Fear
1743120000,33,Fear
1743033600,33,Fear
1742947200,34,Fear
1742860800,34,Fear
1742774400,31,Fear
1742688000,27,Fear
1742601600,27,Fear
1742515200,27,Fear
1742428800,31,Fear
1742342400,23,Fear
1742256000,25,Fear
1742169600,22,Fear
1742083200,24,Fear
1741996800,22,Fear
1741910400,18,Extreme fear
1741824000,21,Fear
1741737600,19,Extreme fear
1741651200,15,Extreme fear
1741564800,17,Extreme fear
1741478400,24,Fear
1741392000,25,Fear
1741305600,30,Fear
1741219200,30,Fear
1741132800,25,Fear
1741046400,24,Fear
1740960000,39,Fear
1740873600,22,Fear
1740787200,20,Fear
1740700800,21,Fear
1740614400,20,Fear
1740528000,26,Fear
1740441600,29,Fear
1740355200,40,Neutral
1740268800,40,Neutral
1740182400,38,Fear
1740096000,43,Neutral
1740009600,40,Neutral
1739923200,37,Fear
1739836800,38,Fear
1739750400,38,Fear
1739664000,41,Neutral
1739577600,41,Neutral
1739491200,38,Fear
1739404800,40,Neutral
1739318400,35,Fear
1739232000,37,Fear
1739145600,35,Fear
1739059200,35,Fear
1738972800,35,Fear
1738886400,35,Fear
1738800000,35,Fear
1738713600,38,Fear
1738627200,45,Neutral
1738540800,39,Fear
1738454400,47,Neutral
1738368000,50,Neutral
1738281600,54,Neutral
1738195200,54,Neutral
1738108800,50,Neutral
1738022400,53,Neutral
1737936000,55,Neutral
1737849600,60,Greed
1737763200,61,Greed
1737676800,61,Greed
1737590400,60,Greed
1737504000,66,Greed
1737417600,59,Neutral
1737331200,58,Neutral
1737244800,64,Greed
1737158400,66,Greed
