timestamp,btc_dominance,active_cryptocurrencies,active_market_pairs,active_exchanges
2025-03-21T00:05:00.000Z,60.5049,10552,102713,813
2025-03-21T00:10:00.000Z,60.492,10552,102713,813
2025-03-21T00:15:00.000Z,60.4785,10552,102714,813
2025-03-21T00:20:00.000Z,60.4973,10552,102714,813
2025-03-21T00:25:00.000Z,60.4888,10552,102714,813
2025-03-21T00:30:00.000Z,60.5085,10552,102714,813
2025-03-21T00:35:00.000Z,60.5309,10552,102715,813
2025-03-21T00:40:00.000Z,60.5227,10552,102715,813
2025-03-21T00:45:00.000Z,60.5252,10552,102715,813
2025-03-21T00:50:00.000Z,60.5321,10552,102715,813
2025-03-21T00:55:00.000Z,60.518,10552,102715,813
2025-03-21T01:00:00.000Z,60.5067,10552,102715,813
2025-03-21T01:05:00.000Z,60.4976,10552,102716,813
2025-03-21T01:10:00.000Z,60.4976,10552,102716,813
2025-03-21T01:15:00.000Z,60.4939,10552,102716,813
2025-03-21T01:20:00.000Z,60.4946,10552,102566,813
2025-03-21T01:25:00.000Z,60.4926,10552,102567,813
2025-03-21T01:30:00.000Z,60.4972,10553,102567,813
2025-03-21T01:35:00.000Z,60.5194,10527,102568,813
2025-03-21T01:40:00.000Z,60.5162,10527,102568,813
2025-03-21T01:45:00.000Z,60.5209,10527,102568,813
2025-03-21T01:50:00.000Z,60.5301,10527,102568,813
2025-03-21T01:55:00.000Z,60.5368,10527,102568,813
2025-03-21T02:00:00.000Z,60.5393,10527,102568,813
2025-03-21T02:05:00.000Z,60.5258,10527,102569,813
2025-03-21T02:10:00.000Z,60.5269,10527,102569,813
2025-03-21T02:15:00.000Z,60.5347,10527,102570,813
2025-03-21T02:20:00.000Z,60.5557,10527,102570,813
2025-03-21T02:25:00.000Z,60.5537,10527,102570,813
2025-03-21T02:30:00.000Z,60.5622,10527,102570,813
2025-03-21T02:35:00.000Z,60.5541,10527,102571,813
2025-03-21T02:40:00.000Z,60.5415,10527,102571,813
2025-03-21T02:45:00.000Z,60.5316,10527,102571,813
2025-03-21T02:50:00.000Z,60.5654,10527,102572,813
2025-03-21T02:55:00.000Z,60.5704,10527,102573,813
2025-03-21T03:00:00.000Z,60.5879,10527,102574,813
2025-03-21T03:05:00.000Z,60.5856,10527,102575,813
2025-03-21T03:10:00.000Z,60.5861,10527,102576,813
2025-03-21T03:15:00.000Z,60.59,10527,102576,813
2025-03-21T03:20:00.000Z,60.5811,10527,102577,813
2025-03-21T03:25:00.000Z,60.5837,10527,102580,813
2025-03-21T03:30:00.000Z,60.5847,10527,102581,813
2025-03-21T03:35:00.000Z,60.5851,10527,102583,813
2025-03-21T03:40:00.000Z,60.5929,10527,102583,813
2025-03-21T03:45:00.000Z,60.6054,10527,102590,813
2025-03-21T03:50:00.000Z,60.6007,10527,102593,813
2025-03-21T03:55:00.000Z,60.6033,10527,102594,813
2025-03-21T04:00:00.000Z,60.6005,10527,102594,813
2025-03-21T04:05:00.000Z,60.6153,10527,102594,813
2025-03-21T04:10:00.000Z,60.617,10527,102594,813
2025-03-21T04:15:00.000Z,60.6145,10527,102595,813
2025-03-21T04:20:00.000Z,60.6223,10527,102595,813
2025-03-21T04:25:00.000Z,60.6143,10527,102596,813
2025-03-21T04:30:00.000Z,60.6155,10527,102596,813
2025-03-21T04:35:00.000Z,60.6231,10527,102597,813
2025-03-21T04:40:00.000Z,60.6199,10527,102597,813
2025-03-21T04:45:00.000Z,60.6277,10527,102597,813
2025-03-21T04:50:00.000Z,60.6325,10527,102597,813
2025-03-21T04:55:00.000Z,60.6211,10527,102598,813
2025-03-21T05:00:00.000Z,60.6175,10527,102598,813
2025-03-21T05:05:00.000Z,60.6224,10527,102600,813
2025-03-21T05:10:00.000Z,60.6267,10527,102601,813
2025-03-21T05:15:00.000Z,60.6468,10527,102602,813
2025-03-21T05:20:00.000Z,60.6237,10527,102603,813
2025-03-21T05:25:00.000Z,60.628,10527,102603,813
2025-03-21T05:30:00.000Z,60.6125,10527,102603,813
2025-03-21T05:35:00.000Z,60.6374,10527,102604,813
2025-03-21T05:40:00.000Z,60.6228,10527,102605,813
2025-03-21T05:45:00.000Z,60.6214,10527,102607,813
2025-03-21T05:50:00.000Z,60.6163,10527,102608,813
2025-03-21T05:55:00.000Z,60.6215,10527,102608,813
2025-03-21T06:00:00.000Z,60.6152,10527,102608,813
2025-03-21T06:05:00.000Z,60.6085,10527,102612,813
2025-03-21T06:10:00.000Z,60.5746,10527,102613,813
2025-03-21T06:15:00.000Z,60.5827,10527,102614,813
2025-03-21T06:20:00.000Z,60.5688,10527,102614,813
2025-03-21T06:25:00.000Z,60.5645,10527,102614,813
2025-03-21T06:30:00.000Z,60.5511,10527,102614,813
2025-03-21T06:35:00.000Z,60.5505,10527,102614,813
2025-03-21T06:40:00.000Z,60.5585,10527,102615,813
2025-03-21T06:45:00.000Z,60.5614,10527,102616,813
2025-03-21T06:50:00.000Z,60.5828,10527,102616,813
2025-03-21T06:55:00.000Z,60.5884,10527,102618,813
2025-03-21T07:00:00.000Z,60.5858,10527,102618,813
2025-03-21T07:05:00.000Z,60.5894,10527,102620,813
2025-03-21T07:10:00.000Z,60.5895,10528,102620,813
2025-03-21T07:15:00.000Z,60.5923,10528,102621,813
2025-03-21T07:20:00.000Z,60.5952,10529,102623,813
2025-03-21T07:25:00.000Z,60.6035,10529,102627,813
2025-03-21T07:30:00.000Z,60.598,10530,102638,813
2025-03-21T07:35:00.000Z,60.5876,10530,102650,813
2025-03-21T07:40:00.000Z,60.5615,10531,102653,813
2025-03-21T07:45:00.000Z,60.543,10531,102653,813
2025-03-21T07:50:00.000Z,60.5221,10531,102655,813
2025-03-21T07:55:00.000Z,60.5187,10531,102655,813
2025-03-21T08:00:00.000Z,60.5169,10531,102655,813
2025-03-21T08:05:00.000Z,60.522,10531,102550,813
2025-03-21T08:10:00.000Z,60.5376,10531,102558,813
2025-03-21T08:15:00.000Z,60.5475,10531,102568,813
2025-03-21T08:20:00.000Z,60.5434,10531,102572,813
2025-03-21T08:25:00.000Z,60.5345,10531,102579,813
2025-03-21T08:30:00.000Z,60.5366,10532,102579,813
2025-03-21T08:35:00.000Z,60.5405,10531,102588,813
2025-03-21T08:40:00.000Z,60.5774,10531,102591,813
2025-03-21T08:45:00.000Z,60.5632,10531,102594,813
2025-03-21T08:50:00.000Z,60.5556,10531,102594,813
2025-03-21T08:55:00.000Z,60.5629,10531,102601,813
2025-03-21T09:00:00.000Z,60.5639,10531,102601,813
2025-03-21T09:05:00.000Z,60.557,10531,102609,813
2025-03-21T09:10:00.000Z,60.562,10531,102617,813
2025-03-21T09:15:00.000Z,60.5673,10531,102617,813
2025-03-21T09:20:00.000Z,60.5378,10531,102619,813
2025-03-21T09:25:00.000Z,60.5411,10531,102625,813
2025-03-21T09:30:00.000Z,60.5611,10531,102628,813
2025-03-21T09:35:00.000Z,60.5765,10531,102639,813
2025-03-21T09:40:00.000Z,60.5931,10531,102640,813
2025-03-21T09:45:00.000Z,60.5943,10531,102641,813
2025-03-21T09:50:00.000Z,60.6141,10531,102642,813
2025-03-21T09:55:00.000Z,60.6105,10531,102643,813
2025-03-21T10:00:00.000Z,60.6253,10531,102645,813
2025-03-21T10:05:00.000Z,60.637,10531,102648,813
2025-03-21T10:10:00.000Z,60.638,10531,102655,813
2025-03-21T10:15:00.000Z,60.6548,10531,102663,813
2025-03-21T10:20:00.000Z,60.6686,10531,102668,813
2025-03-21T10:25:00.000Z,60.6859,10531,102671,813
2025-03-21T10:30:00.000Z,60.7029,10531,102675,813
2025-03-21T10:35:00.000Z,60.6964,10531,102678,813
2025-03-21T10:40:00.000Z,60.6964,10532,102680,813
2025-03-21T10:45:00.000Z,60.6952,10532,102680,813
2025-03-21T10:50:00.000Z,60.6943,10532,102681,813
2025-03-21T10:55:00.000Z,60.6933,10532,102684,813
2025-03-21T11:00:00.000Z,60.6854,10532,102685,813
2025-03-21T11:05:00.000Z,60.6979,10531,102687,813
2025-03-21T11:10:00.000Z,60.6983,10531,102688,813
2025-03-21T11:15:00.000Z,60.6936,10531,102689,813
2025-03-21T11:20:00.000Z,60.6838,10531,102689,813
2025-03-21T11:25:00.000Z,60.6953,10531,102689,813
2025-03-21T11:30:00.000Z,60.6914,10531,102693,813
